WSA	FN	North	PD	Dist	Elev	Inc	lnPD	lnDist	lnInc
0.0	0	0.0	0.248	8.762	38.0	27.935	-1.3943266	2.1704242	3.3298805
1.0	0	0.0	0.243	2.11	28.0	28.146	-1.4146938	0.7466879	3.3374052
1.0	0	0.0	6.636	10.013	22.0	28.146	1.8925093	2.3038843	3.3374052
1.0	0	0.0	0.205	1.632	27.0	28.146	-1.5847453	0.48980623	3.3374052
1.0	0	0.0	9.119	7.333	29.0	28.146	2.2103603	1.9923848	3.3374052
1.0	0	0.0	0.154	1.694	33.0	28.146	-1.8708026	0.5270926	3.3374052
1.0	0	0.0	0.297	2.218	33.0	28.146	-1.2140231	0.7966059	3.3374052
1.0	0	0.0	8.103	9.13	31.0	28.146	2.0922344	2.2115657	3.3374052
1.0	0	0.0	0.187	3.01	30.0	28.146	-1.6766466	1.10194	3.3374052
1.0	0	0.0	0.275	2.767	23.0	27.172	-1.2909842	1.0177637	3.302187
1.0	0	0.0	0.223	0.776	23.0	27.172	-1.5005835	-0.25360274	3.302187
1.0	0	0.0	11.357	5.131	23.0	27.172	2.4298344	1.6353006	3.302187
1.0	0	0.0	0.454	1.529	24.0	27.172	-0.78965807	0.42461395	3.302187
1.0	0	0.0	10.177	2.209	23.0	27.172	2.3201303	0.79253995	3.302187
1.0	0	0.0	0.157	1.437	22.0	27.172	-1.8515095	0.36255762	3.302187
1.0	0	0.0	0.13	3.307	22.0	27.172	-2.040221	1.1960415	3.302187
0.0	0	0.0	0.166	4.546	21.0	27.172	-1.7957675	1.5142478	3.302187
1.0	0	0.0	0.44	1.417	18.5	25.753	-0.82098055	0.348542	3.2485511
0.0	1	0.0	0.327	12.527	20.0	25.753	-1.1177951	2.5278864	3.2485511
1.0	0	0.0	1.101	7.694	18.5	27.852	0.09621882	2.0404408	3.3269048
1.0	0	0.0	0.847	6.618	20.0	27.852	-0.16605458	1.8897932	3.3269048
1.0	0	0.0	0.721	3.377	18.5	27.852	-0.32711613	1.2169877	3.3269048
0.0	0	0.0	1.171	3.564	18.5	27.852	0.15785809	1.2708834	3.3269048
1.0	0	0.0	4.238	5.392	17.5	27.852	1.4440914	1.6849164	3.3269048
